Start,Finish,Conflict,Victorious party,Defeated party
1493,1517,Bundschuh movement,,
1494,1498,Italian War of 1494–98,"Papal States, Republic of Venice, Kingdom of Naples, Spain, Duchy of Milan, Holy Roman Empire",Kingdom of France
1495,1497,Russo-Swedish War (1495–97),Grand Duchy of Moscow,"Kingdom of Denmark, Kingdom of Sweden"
1497,1497,Cornish Rebellion of 1497,Kingdom of England,
1497,1497,Second Cornish Uprising of 1497,Kingdom of England,
1497,1497,Perkin Warbeck,Kingdom of England,
1499,1499,Swabian War,Three Leagues,"Swabian League, Holy Roman Empire"
1499,1499,Conquest of Melilla,"Catholic Monarchs, Crown of Castile, Crown of Aragon",Wattasid dynasty
1499,1501,Rebellion of the Alpujarras (1499–1501),"Catholic Monarchs, Crown of Castile, Crown of Aragon",
1499,1503,Ottoman–Venetian War (1499–1503),Ottoman Empire,"Republic of Venice, Spain, Habsburg Spain"
1499,1504,Italian War of 1499–1504,"Duchy of Milan, Kingdom of Naples, Spain","Kingdom of France, Republic of Venice, Spain"
1500,1503,Muscovite–Lithuanian Wars,Grand Duchy of Moscow,Grand Duchy of Lithuania
1501,1512,Dano-Swedish War (1501–12),"Sweden, Sweden, Free City of Lübeck","Kalmar Union, Denmark, Denmark, Norway, Norway"
1502,1510,Persian-Uzbek Wars,"Safavid dynasty, Timurid Empire","Uzbekistan, Shaybanids"
1502,1543,Guelders Wars,Holy Roman Empire,Guelders
1503,1505,War of the Succession of Landshut,Bavaria-Munich,"Bavaria-Landshut, Electorate of the Palatinate"
1505,1517,Portuguese–Mamluk naval war,Portugal,"Mamluk Sultanate (Cairo), Ottoman Empire"
1507,1508,Muscovite–Lithuanian Wars,"Grand Duchy of Lithuania, Poland during the Jagiellon dynasty","Grand Duchy of Moscow, Michael Glinski"
1508,1516,War of the League of Cambrai,"Papal States, Kingdom of France, Holy Roman Empire, Spain, Duchy of Ferrara, Kingdom of France, Duchy of Ferrara, Kingdom of France, Duchy of Ferrara, Republic of Venice, Kingdom of France, Kingdom of Scotland, Duchy of Ferrara","Republic of Venice, Papal States, Republic of Venice, Papal States, Republic of Venice, Spain, Holy Roman Empire, Kingdom of England, Switzerland, Swiss mercenaries, Papal States, Spain, Holy Roman Empire, Kingdom of England, Duchy of Milan, Switzerland, Swiss mercenaries"
1509,1509,Battle of Diu (1509),Portuguese Empire,"Gujarat Sultanate, Mamluk, Saamoothiri, Ottoman Empire, Republic of Venice, Republic of Ragusa"
1509,1512,Ottoman Civil War (1509–1513),"Ottoman Empire, Selim I, Ottoman Empire, Bayezid II, Ottoman Empire, Janissary",Ottoman Empire
1510,1510,Prince of Anhua rebellion,Ming Dynasty,Prince of Anhua
1510,1514,Hvar Rebellion,Republic of Venice,Hvar
1510,1510,Portuguese conquest of Goa,Portuguese Empire,"Adil Shahi dynasty, Ottoman Empire"
1511,1511,Friulian Revolt of 1511,,
1511,1511,Şahkulu Rebellion,Ottoman Empire,
1511,1529,Spanish–Taíno War of San Juan–Borikén,Crown of Castile,Taíno
1511,1641,Malayan–Portuguese war,Portuguese Empire,"Sultanate of Malacca, Ming dynasty, Dutch East India Company, Sultanate of Johor"
1512,1516,Bengali conquest of Chittagong,Bengal Sultanate,Kingdom of Mrauk U
1512,1522,Muscovite–Lithuanian Wars,"Grand Duchy of Moscow, Livonian Order","Grand Duchy of Lithuania, Poland during the Jagiellon dynasty, Crimean Tatars"
1514,1514,Poor Conrad,Duchy of Württemberg,
1514,1514,György Dózsa,Kingdom of Hungary,
1514,1514,Battle of Chaldiran,Ottoman Empire,Safavid Empire
1515,1515,Slovenian peasant revolt of 1515,Holy Roman Empire,Slovenia
1515,1523,Arumer Zwarte Hoop,Habsburg Netherlands,
1516,1517,Ottoman–Mamluk War (1516–17),Ottoman Empire,Mamluk Sultanate (Cairo)
1516,1521,Trần Cảo Rebellion,Lê Dynasty,Trần Cảo (rebel leader)
1519,1519,Prince of Ning rebellion,Ming Dynasty,Zhu Chenhao
1519,1521,Polish–Teutonic War (1519–21),Poland during the Jagiellon dynasty,Teutonic Knights
1519,1521,Spanish conquest of the Aztec Empire,"Spain, Conquistadores, Tlaxcala",Aztec Triple Alliance
1519,1522,Revolt of the Brotherhoods,List of people associated with the Revolt of the Brotherhoods,List of people associated with the Revolt of the Brotherhoods
1519,1523,Hildesheim Diocesan Feud,"Bishopric of Hildesheim, County of Schaumburg, County of Diepholz, County of Hoya","Principality of Brunswick-Wolfenbüttel, Principality of Calenberg"
1519,1659,Jelali revolts,Ottoman Empire,Alevi
1520,1521,Revolt of the Comuneros,List of people associated with the Revolt of the Comuneros,List of people associated with the Revolt of the Comuneros
1521,1521,First Battle of Tamao,Ming Dynasty,Portuguese Empire
1521,1523,Swedish War of Liberation,"Sweden, Sweden, Free City of Lübeck","Denmark, Denmark, Kalmar Union"
1521,1526,Italian War of 1521–26,"Charles V, Holy Roman Emperor, Spain, Habsburg Spain, Holy Roman Empire, Kingdom of England, Papal States","Kingdom of France, Republic of Venice"
1521,1532,Musso War,Three Leagues,Duchy of Milan
1522,1522,Knights' Revolt,Holy Roman Empire,
1522,1522,Second Battle of Tamao,Ming Dynasty,Portuguese Empire
1522,1522,Siege of Rhodes (1522),Ottoman Empire,"Sovereign Military Order of Malta, Knights Hospitaller, Republic of Venice"
1523,1523,Franconian War,Swabian League,Robber baron
1524,1525,German Peasants' War,Swabian League,
1524,1533,Dalecarlian Rebellions,Sweden,Dalarna
1525,1525,Amicable Grant,Kingdom of England,
1526,1530,War of the League of Cognac,"Charles V, Holy Roman Emperor, Spain, Habsburg Spain, Holy Roman Empire, Republic of Genoa","Kingdom of France, Papal States, Republic of Venice, Republic of Florence, Kingdom of England, Duchy of Milan"
1526,1526,Battle of Mohács,Ottoman Empire,"Kingdom of Hungary, Kingdom of Croatia (medieval), Kingdom of Bohemia, Holy Roman Empire, Bavaria, Papal States, Kingdom of Poland (1385–1569)"
1527,1638,Sinhalese–Portuguese War,Portuguese Empire,"Kingdom of Sitawaka, Kingdom of Kandy"
1527,1697,Spanish conquest of Yucatán,"Spain, Conquistadores",Maya civilization
1527,1528,Hungarian campaign of 1527–28,"Archduchy of Austria, Holy Roman Empire, Spain, Bohemia, Kingdom of Bohemia, Kingdom of Croatia (Habsburg), Papal States, Royal Hungary, Serbs","Ottoman Empire, Moldavia, Moldavia, Eastern Hungarian Kingdom"
1529,1543,Ethiopian–Adal war,"Ethiopian Empire, Portuguese Empire","Adal Sultanate, Ottoman Empire"
1529,1529,First War of Kappel,"Protestant, Canton of Zürich","Roman Catholic Church, Canton of Uri, Canton of Schwyz, Canton of Zug"
1529,1529,Balkan campaign of 1529,"Ottoman Empire, Moldavia, Moldavia, Eastern Hungarian Kingdom","Archduchy of Austria, Holy Roman Empire, Spain, Bohemia, Kingdom of Bohemia, Papal States, Kingdom of Croatia (Habsburg), Royal Hungary"
1529,1529,Siege of Vienna,"Holy Roman Empire, Bohemia, Kingdom of Bohemia, Electorate of the Palatinate, Spain","Ottoman Empire, Ottoman Empire, Moldavia, Moldavia"
1529,1532,Inca Civil War,"Inca Empire, Huáscar, Tumebamba",Atahualpa
1530,1552,Little War in Hungary,"Archduchy of Austria, Holy Roman Empire, Spain, Papal States, Bohemia, Kingdom of Bohemia, Kingdom of Croatia (Habsburg), Royal Hungary","Ottoman Empire, Moldavia, Eastern Hungarian Kingdom, Wallachia, Serbian Despotate, Kingdom of France"
1531,1531,Second War of Kappel,"Roman Catholic Church, Canton of Uri, Canton of Schwyz, Canton of Zug","Protestant, Canton of Zürich"
1532,1572,Spanish conquest of the Inca Empire,"Spain, Conquistadores","Inca Empire, Neo-Inca State"
1532,1555,Ottoman–Safavid War (1532–55),Ottoman Empire,Safavid Empire
1533,1929,Yaqui Wars,"Mexico, Mexico, United States, United States, Crown of Castile, Crown of Castile, Spain, Spain","Yaqui, Mayo people, Opata, Pima people"
1534,1534,"Thomas FitzGerald, 10th Earl of Kildare",Kingdom of England,Gaelic Ireland
1534,1535,Münster Rebellion,Prince-Bishopric of Münster,Anabaptists
1534,1536,Count's Feud,"Denmark, Christian III of Denmark, Duchy of Schleswig, Holstein, Holstein, Sweden, Sweden, Duchy of Prussia, Duchy of Prussia, Jutland","Denmark, Christian II of Denmark, Christopher of Oldenburg, Free City of Lübeck, Skåne, Skåne, Malmö, Malmö, Copenhagen, Copenhagen, Zealand"
1534,1537,Muscovite–Lithuanian Wars,"Grand Duchy of Lithuania, Poland during the Jagiellon dynasty, Crimean Tatars",Grand Duchy of Moscow
1534,1541,Toungoo–Hanthawaddy War (1534–41),Toungoo Dynasty,Hanthawaddy Kingdom
1534,1546,Iguape War,Captaincies of Brazil,Guaraní people
1536,1537,Schmalkaldic War,"Holy Roman Empire, Spain, Habsburg Spain, Electorate of Saxony, Kingdom of Hungary, Kingdom of Bohemia, Lands of the Bohemian Crown","Electorate of Saxony, Hesse, Landgraviate of Hesse, Electorate of the Palatinate, Bremen, Lübeck, Brunswick-Lüneburg, Schmalkaldic League"
1536,1537,Pilgrimage of Grace,Kingdom of England,Roman Catholicism in England and Wales
1536,1538,Italian War of 1536–38,"Holy Roman Empire, Spain","Kingdom of France, Ottoman Empire"
1537,1537,Bigod's Rebellion,Kingdom of England,Roman Catholicism in England and Wales
1537,1548,Conquistador Civil War in Peru (page does not exist),"Governorate of New Castile, Viceroyalty of Peru",Governorate of New Toledo
1538,1545,Toungoo–Ava War (1538–45),Toungoo Dynasty,"Ava Kingdom, Confederation of Shan States, Mrauk-U Kingdom, Prome Kingdom"
1538,1557,Ottoman–Portuguese conflicts (1538–57),"Portuguese Empire, Ethiopian Empire","Ottoman Empire, Adal Sultanate, Ajuran Sultanate, Gujarat Sultanate"
1540,1540,Peasant's Rebellion in Telemark (page does not exist),Denmark–Norway,
1540,1542,Mixtón War,"Spain, Conquistadors",Caxcan
1542,1543,Dacke War,Sweden,Småland
1542,1546,Italian War of 1542–46,"Charles V, Holy Roman Emperor, Spain, Habsburg Spain, Holy Roman Empire, Kingdom of England, Electorate of Saxony, Margraviate of Brandenburg","Kingdom of France, Ottoman Empire, United Duchies of Jülich-Cleves-Berg"
1543,1568,Koch–Ahom conflicts,Kamata Kingdom,Ahom kingdom
1545,1547,Toungoo–Mrauk-U War (1545–47),Mrauk-U Kingdom,Toungoo Dynasty
1546,1547,Schmalkaldic War,"Charles V, Holy Roman Emperor, Spain, Habsburg Spain, Holy Roman Empire, Holy Roman Empire, Electorate of Saxony, Kingdom of Hungary, Kingdom of Bohemia, Lands of the Bohemian Crown","Schmalkaldic League, Electorate of Saxony, Hesse, Landgraviate of Hesse, Electorate of the Palatinate, Bremen, Lübeck, Brunswick-Lüneburg, Schmalkaldic League"
1547,1549,Burmese–Siamese War (1547–49),Ayutthaya Kingdom,Toungoo Dynasty
1547,1565,Jiajing wokou raids,Ming Dynasty,Wokou
1548,1549,Revolt of the Pitauds,Kingdom of France,
1549,1549,Prayer Book Rebellion,Kingdom of England,
1549,1549,Buckinghamshire and Oxfordshire Rising of 1549,Kingdom of England,
1549,1549,Kett's Rebellion,Kingdom of England,
1550,1590,Chichimeca War,Chichimeca,Spain
1551,1559,Italian War of 1551–59,"Spain, Spanish Empire, Holy Roman Empire, Kingdom of England, Republic of Florence, Duchy of Savoy","Kingdom of France, Republic of Siena, Ottoman Empire"
1552,1556,Second Margrave War,Brandenburg-Kulmbach,"Imperial City of Nuremberg, Prince-Bishopric of Bamberg, Schweinfurt, Bishopric of Würzburg, Archbishopric of Mainz, Archbishopric of Trier, Bishopric of Speyer, Electorate of Saxony, Brunswick-Lüneburg, Kingdom of Bohemia, Margraviate of Meissen"
1552,1552,Siege of Kazan (1552),"Tsardom of Russia, Qasim Khanate, Taw yağı","Kazan Khanate, Mari people, Udmurt people, Nogai people"
1552,1556,Kazan Rebellion of 1552–1556,"Muscovy, Mari people","Volga Tatars, Chuvash people, Mari people, Mari people, Udmurt people, Nogai Horde"
1554,1554,Wyatt's rebellion,Kingdom of England,Thomas Wyatt the Younger
1554,1557,Russo-Swedish War (1554–57),Tsardom of Russia,Sweden
1555,1558,Saukrieg,,John IX of Haugwitz
1555,1567,France Antarctique,"Portuguese Empire, Tupi people","Kingdom of France, Tupinambá people"
1557,1578,Ottoman conquest of Habesh,Ottoman Empire,
1558,1566,Ottoman–Portuguese conflicts (1558–66),Portuguese Empire,"Ottoman Empire, Egypt Eyalet, Barbary Coast"
1558,1567,Séan Ó Néill,Kingdom of England,
1558,1583,Livonian War,"Livonian Confederation, Polish–Lithuanian Commonwealth, Polish–Lithuanian union, Denmark–Norway, Sweden, Sweden, Zaporozhian Cossacks, Principality of Transylvania (1570–1711)","Tsardom of Russia, Kingdom of Livonia"
1560,1560,Portuguese invasion of Jaffna kingdom (1560),"Portuguese Empire, Portuguese Empire",Jaffna kingdom
1562,1598,French Wars of Religion,"Kingdom of France, Politique","Protestant, Huguenot, Kingdom of England, Catholic Church, Catholic League (French), Spain, Habsburg Spain, Duchy of Savoy"
1563,1564,Burmese–Siamese War (1563–64),Toungoo Dynasty,Ayutthaya Kingdom
1563,1570,Northern Seven Years' War,"Sweden, Kingdom of Sweden (1523–1611)","Denmark, Denmark-Norway, Free City of Lübeck, Polish-Lithuanian Commonwealth"
1567,1872,Philippine revolts against Spain,"Spain, Spain, Philippines","Francisco Dagohoy, Kingdom of Great Britain"
1568,1570,Burmese–Siamese War (1568–70),Toungoo Dynasty,"Ayutthaya Kingdom, Lan Xang"
1568,1571,Morisco Revolt,Spain,Morisco
1568,1573,Marian civil war,,
1568,1648,Eighty Years' War,"Dutch Republic, Kingdom of England, Protestant Union, Huguenot, Kingdom of France","Spain, Spanish Empire, Holy Roman Empire"
1569,1573,Desmond Rebellions,"Kingdom of England, Kingdom of Ireland","FitzGerald, Earl of Desmond, Gaelic Ireland"
1569,1570,Rising of the North,"England, Elizabeth I of England, England, Church of England, Scotland, Church of Scotland","England, Mary, Queen of Scots, England, Roman Catholicism in England and Wales"
1570,1574,War of the League of the Indies,Portuguese Empire,"Adil Shahi dynasty, Sultanate of Ahmadnagar, Zamorin of Calicut, Aceh Sultanate, Sultanate of Aceh"
1570,1573,Ottoman–Venetian War (1570–73),Ottoman Empire,"Holy League (1571), Republic of Venice, Spain, Habsburg Spain, Papal States, Kingdom of Naples, Republic of Genoa, Kingdom of Sicily, Tuscany, Grand Duchy of Tuscany, Duchy of Urbino, Duchy of Savoy, Sovereign Military Order of Malta, Knights Hospitaller"
1570,1580,Ishiyama Hongan-ji War,Oda Nobunaga,"Ikkō-ikki, Saika Ikki, Mōri clan"
1571,1571,Russo-Crimean War (1571),"Autonomous Republic of Crimea, Crimean Khanate",Tsardom of Russia
1572,1576,Mughal invasion of Bengal,Mughal Empire,Bengal Sultanate
1573,1573,Croatian-Slovenian peasant revolt,Holy Roman Empire,
1575,1577,Danzig rebellion,"Polish-Lithuanian Commonwealth, Principality of Transylvania (1570–1711)",Danzig
1578,1578,Castilian War,Bruneian Empire,Spanish Empire
1578,1590,Ottoman–Safavid War (1578–90),Ottoman Empire,"Safavid Empire, Kingdom of Kartli (1484-1762)"
1579,1581,Tenshō Iga War,Oda clan,
1579,1583,Second Desmond Rebellion,"Kingdom of England, Kingdom of Ireland","FitzGerald dynasty, Earl of Desmond, Spain, Papal States, Gaelic Ireland"
1580,1583,War of the Portuguese Succession,"Spain, Spanish Empire, Portugal, Philip II of Spain","Portugal, António, Prior of Crato, Kingdom of France, Kingdom of England, Dutch Republic"
1580,1589,Ottoman–Portuguese conflicts (1580–89),"Portugal, Portuguese Empire","Ottoman Empire, Ajuran Sultanate"
1583,1588,Cologne War,"Ernst of Bavaria, House of Wittelsbach, Free Imperial City of Cologne, House of Farnese, Isenburg-Grenzau, House of Mansfeld, Claude de Berlaymont","Coat of Arms of the Prince Elector of Cologne, Gebhard Truchsess von Waldburg, Adolf van Nieuwenaar, House of Waldburg, Palatinate-Zweibrücken, House of Nassau, House of Solms-Braunfels"
1584,1593,Burmese–Siamese War (1584–93),Ayutthaya Kingdom,Toungoo Dynasty
1585,1604,Anglo-Spanish War (1585–1604),"Spain, Spanish Empire","Kingdom of England, Dutch Republic, Portugal, António, Prior of Crato"
1587,1588,War of the Polish Succession (1587–88),Sigismund III Vasa,"Maximilian III, Archduke of Austria"
1589,1589,Beylerbeyi Event,Ottoman Empire,Janissaries
1590,1595,Russo-Swedish War (1590–95),Tsardom of Russia,Sweden
1591,1591,Portuguese invasion of Jaffna kingdom (1591),"Portuguese Empire, Portuguese Empire",Jaffna kingdom
1591,1593,Kosiński Uprising,Polish–Lithuanian Commonwealth,Cossacks
1591,1594,Rappenkrieg (Basel),Prince-Bishopric of Basel,
1591,1594,Ayutthayan–Cambodian War (1591–1594),Kingdom of Ayutthaya,Cambodia
1591,1606,Long War (1591–1606),"Habsburg Monarchy, Archduchy of Austria, Holy Roman Empire, Kingdom of Hungary (1538–1867), Kingdom of Croatia (Habsburg), Kingdom of Bohemia, Principality of Transylvania (1570–1711), Wallachia, Moldavia, Zaporozhian Host, Spain, Hajduks, Papal States, Republic of Venice, Electorate of Saxony, Grand Duchy of Tuscany, Safavid dynasty, Knights of St. Stephen, Bulgarians, Rebellion, Duchy of Ferrara, Duchy of Mantua, Republic of Ragusa, Duchy of Savoy","Ottoman Empire, Crimean Khanate, Nogai Horde"
1592,1598,Japanese invasions of Korea (1592–98),"Ming Dynasty, Joseon Dynasty",Azuchi-Momoyama period
1592,1604,Strasbourg Bishops' War,"Duchy of Württemberg, House of Ascania, Margraviate of Brandenburg",House of Lorraine
1593,1597,Cambodian–Spanish War,Dark ages of Cambodia,"Spain, Spanish Empire"
1593,1617,Moldavian Magnate Wars,,
1594,1596,Nalivaiko Uprising,Polish–Lithuanian Commonwealth,Cossacks
1594,1605,Burmese–Siamese War (1594–1605),Ayutthaya Kingdom,Toungoo Dynasty
1594,1603,Nine Years' War (Ireland),"Kingdom of England, Kingdom of Ireland","Gaelic Ireland, Spain, Habsburg Spain, Redshank (soldier)"
1596,1596,Himara Revolt,Ottoman Empire,
1596,1596,Oxfordshire Rising of 1596,Kingdom of England,
1596,1597,Cudgel War,Sweden,
1598,1599,War against Sigismund,Charles IX of Sweden,Sigismund III Vasa
1600,1600,Battle of Sekigahara,Tokugawa Ieyasu,Toyotomi Hideyori
1600,1600,1600 Agrafa Revolt (page does not exist),Ottoman Empire,
1600,1601,Franco-Savoyard War (1600–1601),Duchy of Savoy,Kingdom of France
c. 1600,1866,Navajo Wars,"Crown of Castile, Spain, Mexico, United States",Navajo people
1600,1611,Polish–Swedish War (1600–11),Polish–Lithuanian Commonwealth,"Sweden, Kingdom of Sweden (1523–1611)"
1602,1663,Dutch–Portuguese War,"Portugal, Portuguese Empire, Crown of Castile, Crown of Castile, Kingdom of Cochin, Potiguara","Dutch Republic, Kingdom of England, Johor, Johor Sultanate, Dominion of Ceylon, Kingdom of Kandy, Kingdom of Kongo, Ndongo, Rio Grande Tupis"
1603,1618,Ottoman–Safavid War (1603–18),Safavid Empire,Ottoman Empire
1606,1607,Ivan Bolotnikov,Tsardom of Russia,
1606,1608,Zebrzydowski Rebellion,Polish–Lithuanian Commonwealth,
1609,1614,War of the Jülich Succession,"Wolfgang William, Duke of Palatinate-Neuburg, Spain, Spanish Empire, Palatinate-Neuburg, Catholic League (German), John Sigismund, Elector of Brandenburg, Margraviate of Brandenburg, Dutch Republic, Kingdom of England, Protestant Union","Rudolph II, Holy Roman Emperor, Holy Roman Empire, Strasbourg, Prince-Bishopric of Liège"
1609,1609,Invasion of Ryukyu,Satsuma Domain,"Ryūkyū Kingdom, Ryūkyū Kingdom"
1610,1614,Anglo-Powhatan Wars,Kingdom of England,Powhatan Confederacy
1610,1617,Ingrian War,Swedish Empire,Tsardom of Russia
1611,1611,1611 Ioannina Revolt (page does not exist),Ottoman Empire,
1612,1613,Kalmar War,Denmark–Norway,Swedish Empire
1612,1614,Rappenkrieg,"Habsburg Monarchy, Holy Roman Empire",
1612,1615,Equinoctial France,"Portugal, Portuguese Empire",Kingdom of France
1613,1614,Burmese–Siamese War (1613–14),Toungoo Dynasty,Ayutthaya Kingdom
1614,1615,Siege of Osaka,Tokugawa shogunate,Toyotomi clan
1614,1625,Mataram conquest of Surabaya,Mataram Sultanate,Duchy of Surabaya
1615,1618,Uskok War,"Holy Roman Empire, Kingdom of Croatia (Habsburg), Spain, Habsburg Spain","Republic of Venice, Dutch Republic, Kingdom of England"
1615,1637,Ahom–Mughal conflicts,Kingdom of Ahom,Mughal Empire
1616,1620,Tepehuán Revolt,Spanish Empire,"Tepehuan people, Acaxee"
1617,1618,Polish–Swedish War (1617–18),"Sweden, Kingdom of Sweden (1523–1611)",Polish–Lithuanian Commonwealth
1618,1697,Spanish conquest of Petén,Spanish Empire,Maya civilization
1618,1639,Bündner Wirren,"France, Venice","Habsburg Monarchy, Holy Roman Empire"
1618,1648,Thirty Years' War,"Denmark, Denmark-Norway, Kingdom of France, Bohemia, Kingdom of Bohemia, Sweden, Swedish Empire, Electorate of Saxony, Dutch Republic, Electorate of the Palatinate, Brunswick-Lüneburg, Kingdom of England, Brandenburg-Prussia, Principality of Transylvania (1570–1711), Zaporozhian Cossacks, Ottoman Empire","Holy Roman Empire, Catholic League (German), Habsburg Monarchy, Archduchy of Austria, Bohemia, Kingdom of Bohemia, Kingdom of Hungary, Kingdom of Croatia (Habsburg), Spain, Spanish Empire, Denmark, Denmark-Norway"
1618,1683,Qing conquest of the Ming,"Qing dynasty, Later Jin (1616-1636), Qing dynasty, Qing Dynasty","Ming Dynasty, Southern Ming, Kingdom of Tungning, Shun Dynasty, Zhang Xianzhong"
1619,1682,Ahom–Mughal conflicts,Ahom kingdom,Mughal Empire
1620,1621,Polish–Ottoman War (1620–21),Polish-Lithuanian Commonwealth,Ottoman Empire
1621,1625,Polish–Swedish War (1621–25),"Sweden, Kingdom of Sweden (1523–1611)",Polish–Lithuanian Commonwealth
1621,1635,Early Mughal-Sikh War (1621–35) (page does not exist),Sikh militia (page does not exist),Mughal Empire
1622,1625,War of the Vicuñas and Basques,,
1622,1632,Anglo-Powhatan Wars,Kingdom of England,Powhatan Confederacy
1623,1639,Ottoman–Safavid War (1623–39),Ottoman Empire,Safavid Empire
1625,1625,Zhmaylo Uprising,Polish–Lithuanian Commonwealth,
1625,1625,Relief of Genoa,"Spain, Republic of Genoa","Kingdom of France, Duchy of Savoy, Dutch Republic"
1626,1629,Polish–Swedish War (1626–29),"Sweden, Swedish Empire","Polish–Lithuanian Commonwealth, Holy Roman Empire"
1626,1636,Peasants' War in Upper Austria,"Electorate of Bavaria, Upper Austria",
1627,1627,First Manchu invasion of Korea,Joseon Dynasty,"Qing dynasty, Qing Dynasty"
1627,1672,Trịnh–Nguyễn War,"Trịnh lords, Lê Dynasty, Dutch East India Company",Nguyễn lords
1628,1631,War of the Mantuan Succession,"Charles I, Duke of Mantua, Kingdom of France","Ferrante II, Duke of Guastalla, Holy Roman Empire, Spain, Habsburg Spain, Duchy of Savoy"
1630,1630,Fedorovych Uprising,Polish–Lithuanian Commonwealth,
1632,1634,Smolensk War,Polish-Lithuanian Commonwealth,Tsardom of Russia
1633,1634,Polish–Ottoman War (1633–34),Polish-Lithuanian Commonwealth,Ottoman Empire
1634,1638,Pequot War,"Massachusetts Bay Colony, Plymouth Colony, Saybrook Colony, Narragansett people, Mohegan people",Pequot
1635,1635,Sulyma Uprising,Polish-Lithuanian Commonwealth,Cossaks
1635,1659,Franco-Spanish War (1635–59),"Kingdom of France, Commonwealth of England","Spain, House of Stuart"
1636,1637,Second Manchu invasion of Korea,"Qing dynasty, Qing Dynasty",Joseon Dynasty
1637,1637,Pavlyuk Uprising,Polish-Lithuanian Commonwealth,Cossaks
1637,1638,Shimabara Rebellion,"Template:Country data Tokugawa shogunate (page does not exist), Netherlands, Dutch Empire",
1638,1638,Ostryanyn Uprising,Polish-Lithuanian Commonwealth,Cossaks
1639,1639,Revolt of the va-nu-pieds,Kingdom of France,
1639,1639,Bishops' Wars,Covenanter,"Royalist, England, Kingdom of England"
1640,1640,Bishops' Wars,Covenanter,"Royalist, England, Kingdom of England"
1640,1659,Catalan Revolt,Spain,"Catalonia, Kingdom of France"
1640,1668,Portuguese Restoration War,"Portugal, Kingdom of Portugal, Kingdom of England","Spain, Habsburg Spain"
1640,1701,Beaver Wars,Iroquois,"Algonquian peoples, Kingdom of France"
1641,1653,Irish Confederate Wars,Roundhead,"Confederate Ireland, Cavalier"
1641,1644,Wars of Castro,"Barberini, Pope Urban VIII, Pamphili, Pope Innocent X","House of Farnese, Duchy of Parma"
1642,1646,First English Civil War,"Kingdom of England, Kingdom of Scotland, Roundhead","Kingdom of England, Kingdom of Scotland, Cavalier"
1643,1644,Cambodian–Dutch War,Dark ages of Cambodia,Dutch East India Company
1643,1645,Torstenson War,"Sweden, Swedish Empire, Dutch Republic","Denmark, Denmark-Norway, Holy Roman Empire"
1643,1645,Kieft's War,Lenape,New Netherland
1644,1646,Anglo-Powhatan Wars,Kingdom of England,Powhatan Confederacy
1644,1674,Char Bouba war,"Maqil, Arab people","Zenaga people, Berber people"
1644,1651,Scotland in the Wars of the Three Kingdoms,Covenanters,"Cavalier, Confederate Ireland"
1645,1669,Cretan War (1645–69),"Ottoman Empire, Ottoman Empire, Barbary Coast","Republic of Venice, Sovereign Military Order of Malta, Knights Hospitaller, Papal States, Kingdom of France, Maniots"
1648,1648,Moscow uprising of 1648,Template:Country data Tsardom of Russia (page does not exist),
1648,1657,Khmelnytsky Uprising,"Zaporozhian Host, Crimean Khanate","Polish-Lithuanian Commonwealth, Crimean Khanate"
1648,1649,Fronde,"Kingdom of France, Kingdom of France","Parlement, Princes of the Blood"
1648,1649,Second English Civil War,Roundheads,"Cavalier, Scotland"
1649,1651,Third English Civil War,Roundhead,"Cavalier, Covenanter"
1649,1653,Mughal–Safavid War (1649–1653),Mughal Empire,Safavid Empire
1649,1653,Cromwellian conquest of Ireland,"Roundhead, New Model Army, Plantations of Ireland","Confederate Ireland, Cavalier"
1649,1649,Wars of Castro,Pope Innocent X,"Ranuccio II Farnese, Duke of Parma"
1650,1653,Fronde,"Kingdom of France, Kingdom of France","Parlement, Princes of the Blood"
1651,1651,Düsseldorf Cow War,Margraviate of Brandenburg,Palatinate-Neuburg
1651,1651,Kostka-Napierski Uprising,Polish-Lithuanian Commonwealth,
1651,1651,Keian Uprising,Tokugawa Shogunate,
1651,1986,Three Hundred and Thirty Five Years' War,Isles of Scilly,"Dutch Republic, Republic of the Seven United Netherlands"
1652,1654,First Anglo-Dutch War,Commonwealth of England,"Dutch Republic, Republic of the Seven United Netherlands"
1652,1689,Russian–Manchu border conflicts,"Qing dynasty, Qing Empire, Joseon Dynasty","Tsardom of Russia, Cossacks"
1653,1653,Swiss peasant war of 1653,"Zürich, Thurgau, Canton of Uri","Lucerne, Bern, Solothurn, Basel, Aargau"
1653,1653,Morning Star Rebellion,Swedish Empire,
1654,1654,Swedish Wars on Bremen,Swedish Empire,Bremen
1654,1667,Russo-Polish War (1654–67),"Tsardom of Russia, Cossack Hetmanate","Polish-Lithuanian Commonwealth, Crimean Khanate"
1654,1660,Anglo-Spanish War (1654–60),"Commonwealth of England, Kingdom of France","Spain, House of Stuart"
1655,1655,Peach Tree War,Susquehannock,New Netherland
1655,1656,Varaždin rebellion (1665–66),Habsburg Monarchy,
1655,1660,Second Northern War,"Sweden, Swedish Empire, Brandenburg, Brandenburg-Prussia, Principality of Transylvania (1570–1711), Cossack Hetmanate, Grand Duchy of Lithuania, Wallachia, Moldavia","Polish–Lithuanian Commonwealth, Denmark, Denmark–Norway, Habsburg Monarchy, Tsardom of Russia, Crimean Khanate, Brandenburg-Prussia, Dutch Republic"
1656,1656,Çınar Incident,,Ottoman Empire
